generatorInfidelity,trueInfidelity,estimatedInfidelity,estimatedError,delta1,delta2
0.00021720219147504974,0.00028168284563434565,0.0002592934807527647,0.000012976035027201238,0.08923606898070348,0.05234011137578365
0.0005700464121244444,0.0006905778318345712,0.0007736705184813175,0.000038299122621487935,0.12291364137278153,0.07032059056993493
0.00032421485596138594,0.0005935995853189047,0.000522779025598441,0.00003373442441861885,0.12592554068486791,0.07601351115182607
0.00005515869062699865,0.00007106583716409709,0.0000675196112637777,0.000021606896135228926,0.03136031726468954,0.021689787540089506
0.000011297021866268337,0.00002841128689168304,0.000024297515885590704,0.000037028443757497476,0.02229443256595537,0.012967523826076051
0.00003232330619405582,0.000031708029441024355,0.00005042684810507847,0.000015664552554861544,0.02592454242599621,0.017205734677018036
0.0018041095240369494,0.003007395432386706,0.0030939465386959353,0.000333527154589508,0.23032661780288288,0.1489433031263196
0.00006812069358791757,0.00017646617876893034,0.00018757534701768774,0.00003497981558947538,0.048248490647076404,0.03296782734202131
0.0018612880214002286,0.004729326544379631,0.004929677423914369,0.0007925104231336633,0.1849532767913143,0.10716597816575557
0.00488989648565399,0.006499719726432096,0.006748374430806947,0.001089645464562028,0.42274057316182745,0.22659915976402603
0.007541956931761154,0.01998392133870258,0.020738540422551965,0.00473908715885718,0.6233796707753347,0.3534092174143601
0.000034944170858761624,0.00008864746864306605,0.0001622734648091262,0.00003300284615154192,0.02814054659657005,0.02011106797263999
0.000101725446400678,0.000178037531776587,0.00017703165888932615,0.000014512327422278037,0.048395899939186034,0.03363931865077748
0.003063686893064427,0.006979296663772283,0.006767398144356285,0.0008031060671566115,0.26652488639694927,0.19014937599067075
0.00006223505874396831,0.00016493716370269418,0.00013922353531226062,0.000011677744017168923,0.04870781858534279,0.03566053194517086
0.00021898872660732255,0.000479754802647836,0.0005345297644036573,0.00003916649442659015,0.12121542568585157,0.07035964842240004
0.000013279886022917472,0.0000436124618237721,0.00004587933334154748,0.000037346305445939976,0.021400181524417763,0.015806361561030737
0.00003369553995585353,0.00005993011124216796,0.00008404226031727413,8.6225954689656e-6,0.03604518673657382,0.02137154608852042
0.0012091891944062756,0.002548242364611819,0.002448809528319329,0.0002801555344024709,0.1763370932857864,0.136037836075974
0.003750255094309548,0.0058517634968905385,0.005597520593263183,0.0007796380548647508,0.3162504532327254,0.21541193881197362
0.006973757623988627,0.01646287069228719,0.015830091674707725,0.002441112970072379,0.6347883131003401,0.3103184218554033
0.006361632565746226,0.006077406198812474,0.006152136454912915,0.0005647476033504573,0.32162816892300033,0.18466151879946738
0.0005334463963055952,0.0008708349415027516,0.0009226612592624361,0.00009269843204207096,0.1131670672690257,0.06556362253234804
0.00021008425944746,0.000623947085158727,0.000682904985713495,0.00003338455378965044,0.09268428871263903,0.06716166297340885
0.00017641210073456775,0.0003357859376265093,0.00033880342767450555,0.000041498977066012355,0.0771744364585388,0.04574144678023326
0.0006030262161561689,0.0015628054475388953,0.0015538319008655543,0.000055727904107183424,0.1636196318261752,0.11818528355418696
0.000014469225221569406,0.000028141556372929255,0.00002238523341305254,0.000022777502920262593,0.02036977323966603,0.012027938204862462
0.00012351368211603294,0.00019790600558378113,0.00023588237392418998,0.00001143996603297781,0.06905073731146817,0.04287140742545433
0.00018290768367595138,0.00047004123853477964,0.0004634761034165713,0.00005500701396049523,0.07931558489396946,0.049443652960600624
0.00001000162453396384,0.000019589709817913192,0.000019190222014325853,0.00002240489407398516,0.01697431709962501,0.01102319395800059
0.000026630408340818635,0.000039911146564430844,0.00004025006351510152,0.000017680323191493486,0.027229756219848772,0.017661086583527028
0.002693774708896178,0.0049856616288243005,0.004955433676755827,0.0003628919220816096,0.3134113569834396,0.22453244440742126
0.000021930863545697276,0.000042403659731737875,0.00005198661008776195,0.000022547841793341128,0.0319284883228415,0.020268085433252755
0.00001114666877650627,0.00003361409378321856,0.000055316835720076174,0.000037860413434731566,0.021266486370638212,0.01203796365242888
